Year,College Code,College_Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,Agricultural and Irrigation Engg.(SS),196.25,195.25,193.25,194.25,188.75,185.75,175.25
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,Bio Medical Engg(SS),198.25,197.5,197.25,196.5,193,191.75,188
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,Civil Engineering,198.5,198,197.5,197.5,196,193.5,196
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,Computer Science and Engg.(SS),199,198.75,199,197.75,193.5,190.5,193.33
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,Computer Science and Engg.,199.75,199.5,199.5,199,197.5,196.25,193.75
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,Electronics and Comm Engg.,200,199.75,199.75,199.25,198.25,197,190.25
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,Electrical and Elec. Engg.,199.25,199,198.5,198.75,196.5,197,193.25
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,Electronics and Comm Engg(SS),199.25,199,198,198.5,195.5,194.5,189
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,Geo-Informatics,196.75,196,194,194.75,188.75,186.25,
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IE,Industrial Engineering,196.5,196,195.5,194.25,186.75,184,
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IM,Information Technology(SS),198.5,198,197.75,197,191.5,184.5,172
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MA,Materials Science and Engg.(SS),196,195.5,194.75,194.25,184,179.75,
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",ME,Mechanical Engineering,199.25,199,198.5,198.25,196.5,196.5,190.75
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MI,Mining Engineering,197,196,193.25,195,188.75,191,
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MN,Manufacturing Engineering,197.25,196.5,196.75,195.5,187,193,
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PT,Printing Technology,195,194.25,190.75,192.5,183.75,180.25,164.5
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,Civil Engineering (Tamil Medium),192.25,190.5,190.5,188.75,179.5,173,161
2017,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XM,Mechanical Engineering (Tamil Medium),193.5,191,191.25,189.25,180,175.75,164.25
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AP,Apparel Technology(SS),193.25,192,191,190,178.5,173.25,
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CH,Chemical Engineering,198.5,197.75,196.75,197,193.5,195.25,185.25
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CL,CHEMICAL ENGINEERING(SS),197.25,197,196.5,195.5,188,183.75,176
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CR,Ceramic Technology(SS),192.75,192,190.25,190.25,178,170.75,
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",FS,Food Technology(SS),196,195.25,194.25,193.5,186.25,175.5,
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IB,Industrial Bio-Technology,197.75,197,195.75,195.5,193,192.75,
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IS,Industrial Bio-Technology(SS),197,196.5,195.25,194.75,186,184.75,
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",LE,Leather Technology,193.75,192.75,193,191.25,181.75,179.75,178.5
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PM,Pharmaceutical Technology(SS),195,194.25,194.75,192.25,183.5,172.5,
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PP,Petroleum Engineering And Tech(SS),195.75,195,194.75,193.5,185.75,176.25,165.25
2017,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",TX,Textile Technology,193.75,193,192.25,191.75,182,177,157.25
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AE,Aeronautical Engineering,198.25,197.33,197.75,197,194.75,195,
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AS,Automobile Engineering (SS),196.75,196.25,196.5,195,187,185,
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AU,Automobile Engineering,197.5,197,196.75,195.75,191.25,187,180.75
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CM,Computer Science and Engg.(SS),198.5,198.33,197.5,197,192,186,
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CS,Computer Science and Engg.,198.75,198.5,198,197.75,195,197.5,192.25
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EC,Electronics and Comm Engg.,199.25,199,198,198.25,196.5,196.25,188.25
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EI,Electronics and Instru Engg.,198.25,198,197.75,197.25,192.75,190.75,176.5
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EM,Electronics and Comm Engg(SS),198.75,198.5,197,197.75,193.5,188.75,177.75
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EX,Electronics and Instru Engg(SS),197.75,197.25,196.75,196.25,189.75,179.5,
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",IM,Information Technology(SS),197.75,197.5,196.25,196,188.75,180,168
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",MF,Mechanical Engineering(SS),198.75,198.25,197.5,197.75,194.25,191.5,186.75
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",PR,Production Engineering,196.75,196.25,195.5,194.75,186.75,186.25,168
2017,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",RP,Rubber and Plastic Technology,194.75,193.5,191.5,193,183.75,174.75,161.25
2017,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",CS,Computer Science and Engg.,179.25,174,168.75,175.5,162.75,163.25,149.25
2017,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",EC,Electronics and Comm Engg.,183.75,176.75,177.75,180.25,165.5,138,
2017,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",IT,Information Technology,173.75,165.5,145.25,163.25,156.75,134.75,
2017,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",ME,Mechanical Engineering,180.25,176,174,176.5,167.5,144.25,175.25
2017,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",XM,Mechanical Engineering (Tamil Medium),125,92.75,,92.5,96,,
2017,1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM,IYYANTHOPE (POST) , MELPAKKAM (VILLAGE),VILLUPURAM DIST, PIN - 604001.",CE,Civil Engineering,174.75,158.75,156.5,163.75,161.5,122.25,139.5
2017,1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM,IYYANTHOPE (POST) , MELPAKKAM (VILLAGE),VILLUPURAM DIST, PIN - 604001.",CS,Computer Science and Engg.,173.5,167,156,168.25,161.25,164.5,139.25
2017,1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM,IYYANTHOPE (POST) , MELPAKKAM (VILLAGE),VILLUPURAM DIST, PIN - 604001.",EC,Electronics and Comm Engg.,180.25,172.5,160.25,172.75,161.75,118,
2017,1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM,IYYANTHOPE (POST) , MELPAKKAM (VILLAGE),VILLUPURAM DIST, PIN - 604001.",IT,Information Technology,162.5,155.75,151,157,152.75,113.75,
2017,1014,"UNIVERSITY COLLEGE OF ENGINEERING, TINDIVANAM,IYYANTHOPE (POST) , MELPAKKAM (VILLAGE),VILLUPURAM DIST, PIN - 604001.",XC,Civil Engineering (Tamil Medium),100.25,90.25,,,,,
2017,1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI,ARNI TO DEVIKAPURAM ROAD, THATCHUR, ARNI,THIRUVANNAMALAI DIST, PIN - 632326.",CS,Computer Science and Engg.,169.75,162,143.75,163,151,99.5,131
2017,1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI,ARNI TO DEVIKAPURAM ROAD, THATCHUR, ARNI,THIRUVANNAMALAI DIST, PIN - 632326.",EC,Electronics and Comm Engg.,182.25,173.25,105.5,173.25,151.75,153,155
2017,1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI,ARNI TO DEVIKAPURAM ROAD, THATCHUR, ARNI,THIRUVANNAMALAI DIST, PIN - 632326.",EE,Electrical and Elec. Engg.,175.25,168,142.25,171.25,150,128.75,135
2017,1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI,ARNI TO DEVIKAPURAM ROAD, THATCHUR, ARNI,THIRUVANNAMALAI DIST, PIN - 632326.",ME,Mechanical Engineering,177,171.25,164.75,172,158.5,127.25,
2017,1015,"UNIVERSITY COLLEGE OF ENGINEERING, ARNI,ARNI TO DEVIKAPURAM ROAD, THATCHUR, ARNI,THIRUVANNAMALAI DIST, PIN - 632326.",XM,Mechanical Engineering (Tamil Medium),109.75,108,,95.5,85.5,,
2017,1026,"UNIVERSITY COLLEGE OF ENGINEERING, KANCHIPURAM,NH-4, CHENNAI BANGALORE HIGHWAY, PONNERIKKARAI,KANCHEEPURAM DIST, PIN - 631552.",CS,Computer Science and Engg.,187.25,183,178.75,179.5,165.25,174,140.75
2017,1026,"UNIVERSITY COLLEGE OF ENGINEERING, KANCHIPURAM,NH-4, CHENNAI BANGALORE HIGHWAY, PONNERIKKARAI,KANCHEEPURAM DIST, PIN - 631552.",EC,Electronics and Comm Engg.,189.5,187.5,169.75,184.25,167,143.75,
2017,1026,"UNIVERSITY COLLEGE OF ENGINEERING, KANCHIPURAM,NH-4, CHENNAI BANGALORE HIGHWAY, PONNERIKKARAI,KANCHEEPURAM DIST, PIN - 631552.",EE,Electrical and Elec. Engg.,184.5,180.5,166.75,178.5,164.75,146.5,
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,AGRICULTURAL AND IRRIGATION ENGG.(SS),194.75,192.25,191,189.5,184.5,164.5,168.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,BIO MEDICAL ENGG(SS),196.75,195.25,195,194,190.5,186.75,181.25
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,CIVIL ENGINEERING,196.75,196,196.25,195.25,191.5,189.5,176
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,COMPUTER SCIENCE AND ENGG.(SS),198.5,198,197.5,196.75,188.25,183.5,182.25
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,COMPUTER SCIENCE AND ENGG.,199.5,199.25,198.75,198.25,195.5,195.25,190.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,ELECTRONICS AND COMMUNICATION ENGG.,199.33,198.75,198.25,198.5,195.75,193.25,187.25
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,ELECTRICAL AND ELECTRONICS ENGG.,198.25,197.5,196.75,197.25,194.75,191.25,173.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,ELECTRONICS AND COMMUNICATION ENGG. (SS),198.25,197.75,195.25,196.5,190.5,180.25,172.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,GEO-INFORMATICS,194,192.75,191.75,190.25,180,141,
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IE,INDUSTRIAL ENGINEERING,195.25,192.5,188.75,190,179.5,153.25,
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IM,INFORMATION TECHNOLOGY(SS),197.25,197,195,195,185.5,178.5,187.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MA,MATERIALS SCIENCE AND ENGG.(SS),192.75,190.25,187.75,188,174.25,164.75,
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",ME,MECHANICAL ENGINEERING,198,197.25,195.75,196.25,192.75,190,186.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MI,MINING ENGINEERING,194,191.75,189.75,191.75,182.5,177,
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MN,MANUFACTURING ENGINEERING,194,192.25,191.25,191.25,184,158.5,
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PT,PRINTING TECHNOLOGY,191.75,190,187,187.25,172.75,175,143.25
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,CIVIL ENGINEERING - TAMIL MEDIUM,185.5,175.75,173,173,157.5,164.25,158.5
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XM,MECHANICAL ENGINEERING - TAMIL MEDIUM,187.25,180.25,178.75,174.5,154,132,
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AP,APPAREL TECHNOLOGY(SS),188.5,184.75,184.5,179,162,118.5,
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CH,CHEMICAL ENGINEERING,196.5,196,195.5,193.25,190.25,188.25,171.5
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CL,CHEMICAL ENGINEERING(SS),194.75,193.75,193,191,183,178.75,125
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CR,CERAMIC TECHNOLOGY(SS),188,185.75,178.5,180.25,164.25,119.25,
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",FS,FOOD TECHNOLOGY(SS),192.75,191.75,190.5,190,176,176.25,
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IB,INDUSTRIAL BIO-TECHNOLOGY,197,195,189.25,192.25,187.75,174,
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IS,INDUSTRIAL BIO-TECHNOLOGY(SS),194,192.25,189,189.25,177.25,148.75,
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",LE,LEATHER TECHNOLOGY,187.25,185,182,180.75,168.75,174.75,135
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PM,PHARMACEUTICAL TECHNOLOGY(SS),191.5,189.75,189.25,186.25,171.5,128.75,
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PP,PETROLEUM ENGINEERING AND TECH(SS),192.25,189.75,186.25,187,174.75,161.75,165.75
2018,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",TX,TEXTILE TECHNOLOGY,190,188.25,183,185,175.25,180.75,160.5
